ISSN,Institution
0961-9534,ncl
2110-7017,ncl
1550-8307,ncl
0739-8859,ncl
0048-7333,ncl
0092-8674,cam
0140-6736,cam
0896-6273,cam
0960-9822,cam
1097-2765,cam
0959-6526,cam
1053-8119,cam
0012-821X,cam
1934-5909,cam
1534-5807,cam
1364-6613,cam
0022-2836,cam
0006-3495,cam
1074-7613,cam
0378-7753,cam
0169-5347,cam
0301-4215,cam
0890-8567,cam
0165-0327,cam
0006-291X,cam
0016-7037,cam
1364-0321,cam
1550-4131,cam
0048-9697,cam
0305-750X,cam
0277-9536,cam
0040-4039,cam
0006-3207,cam
0142-9612,cam
1535-6108,cam
1359-6454,cam
0012-1606,cam
0010-2180,cam
0926-5805,cam
0006-3223,cam
0003-3472,cam
0021-9991,cam
0306-2619,cam
0925-8388,cam
0032-3861,cam
1385-8947,cam
0013-4686,cam
0304-405X,cam
0277-3791,cam
0305-4403,cam
0016-5085,cam
0149-7634,cam
0008-6223,cam
0021-9797,cam
0959-4388,cam
0040-4020,cam
0028-3932,cam
0009-2509,cam
0921-5093,cam
0360-3199,cam
0169-4332,cam
0360-5442,cam
0921-8009,cam
1473-3099,cam
0006-8993,cam
0378-7788,cam
0016-7185,cam
0360-1323,cam
0166-2236,cam
0047-2484,cam
0191-8869,cam
0048-7333,cam
0950-0618,cam
0005-7967,cam
0962-8924,cam
0306-4522,cam
0010-0277,cam
0016-2361,cam
0968-0004,cam
0925-4005,cam
2211-2855,cam
0955-0674,cam
1040-6182,cam
0009-2614,cam
0168-9525,cam
0022-2860,cam
1540-7489,cam
0040-1625,cam
0959-440X,cam
0962-6298,cam
1474-4422,cam
0959-3780,cam
0009-2541,cam
0099-2399,ucl
0890-8567,ucl
1296-2074,ucl
0885-2006,ucl
0140-1971,ucl
0161-6420,ucl
0272-4944,ucl
0966-6923,ucl
0278-2391,ucl
0346-251X,ucl
0967-070X,ucl
1353-8292,ucl
0002-9343,ucl
0749-3797,ucl
0889-5406,ucl
0002-9149,ucl
0891-4222,ucl
0022-3913,ucl
0015-0282,ucl
0962-6298,ucl
1473-3099,ucl
1064-7481,ucl
0016-7185,ucl
1353-8020,ucl
0959-3780,ucl
0002-9394,ucl
0003-9993,ucl
1053-8100,ucl
0140-6736,ucl
0272-7757,ucl
0091-6749,ucl
0190-9622,ucl
1742-7061,ucl
1084-9521,ucl
0168-8278,ucl
1470-2045,ucl
0264-2751,ucl
0738-0593,ucl
0010-9452,ucl
1040-6182,ucl
0928-0987,ucl
0378-2166,ucl
0003-3472,ucl
0926-5805,ucl
0308-597X,ucl
0002-9378,ucl
0263-7863,ucl
0960-8966,ucl
1474-4422,ucl
0959-6526,ucl
0742-051X,ucl
1878-8750,ucl
0223-5234,ucl
1388-2457,ucl
0016-5085,ucl
0022-3476,ucl
0197-3975,ucl
0167-7799,ucl
0950-0618,ucl
1525-5050,ucl
0272-7358,ucl
0022-1031,ucl
0040-1625,ucl
0195-6663,ucl
0968-0004,ucl
1364-0321,ucl
0042-6989,ucl
0022-3468,ucl
0010-0277,ucl
0305-4403,ucl
0959-4388,ucl
0005-7967,ucl
0145-2134,ucl
0025-326X,ucl
0010-2180,ucl
0735-1097,ucl
0091-7435,ucl
0168-9525,ucl
1471-4906,ucl
0962-8924,ucl
0955-0674,ucl
0166-2236,ucl
1364-6613,ucl
0047-2484,ucl
0360-1315,ucl
0921-8009,ucl
0022-0965,ucl
0959-440X,ucl
0304-3878,ucl
0169-5347,ucl
0301-4797,ucl
0093-934X,ucl
0378-7788,ucl
0277-3791,ucl
0360-1323,ucl
0747-5632,ucl
0149-7634,ucl
0965-8564,ucl
0738-3991,ucl
0047-2727,ucl
0305-750X,ucl
0302-2838,ucl
0301-4215,ucl
0960-1481,ucl
0360-3016,ucl
0141-0296,ucl
0360-3199,ucl
0197-4580,ucl
0895-4356,ucl
0169-2046,ucl
0008-8846,ucl
0360-5442,ucl
0016-7037,ucl
0029-8018,ucl
0191-8869,ucl
0006-3223,ucl
0306-4530,ucl
0098-1354,ucl
0379-0738,ucl
0048-7333,ucl
1359-6446,ucl
0148-2963,ucl
0006-3207,ucl
0022-2836,ucl
0165-0270,ucl
0014-4835,ucl
0306-2619,ucl
0301-0082,ucl
0165-1781,ucl
0016-2361,ucl
0168-3659,ucl
0165-0327,ucl
0264-410X,ucl
0378-5955,ucl
0022-510X,ucl
0012-821X,ucl
0028-3932,ucl
0014-4886,ucl
0920-9964,ucl
1385-8947,ucl
0269-7491,ucl
0277-9536,ucl
0925-4005,ucl
0378-7753,ucl
0028-3908,ucl
0169-409X,ucl
0013-4686,ucl
0142-9612,ucl
0376-7388,ucl
0166-4328,ucl
0009-2509,ucl
0304-3940,ucl
0378-5173,ucl
0006-8993,ucl
0306-4522,ucl
0021-9797,ucl
0925-8388,ucl
0048-9697,ucl
0006-291X,ucl
0550-3213,dur
1048-9843,dur
2352-409X,dur
0022-4359,dur
2214-6296,dur
0002-8703,dur
1879-9817,dur
0275-5319,dur
0016-7878,dur
0099-1767,dur
0929-1199,dur
0016-5107,dur
0002-9149,dur
0735-1097,dur
0016-5085,dur
1059-0560,dur
1045-2354,dur
1876-7605,dur
0090-2616,dur
0277-3791,dur
0959-6526,dur
0168-8278,dur
1057-5219,dur
1062-9769,dur
1041-6080,dur
1542-3565,dur
0007-6813,dur
0747-5632,dur
0969-5931,dur
1081-1206,dur
0003-4975,dur
1878-0040,dur
1043-951X,dur
0301-4215,dur
0346-251X,dur
0016-7185,dur
1053-2498,dur
0969-6989,dur
0148-2963,dur
1475-1585,dur
0003-3472,dur
1876-7982,dur
0264-9993,dur
0959-3780,dur
0927-538X,dur
1544-6131,dur
0889-4906,dur
1042-444X,dur
0883-9026,dur
0010-7824,dur
1441-3523,dur
1091-8531,dur
1572-3089,dur
1566-0141,dur
0191-8869,dur
0160-7383,dur
1871-1871,dur
0960-9822,dur
0092-8674,dur
1040-6182,dur
0278-4254,dur
0962-6298,dur
0024-4937,dur
1364-0321,dur
1060-3743,dur
1044-0283,dur
0304-405X,dur
0278-4319,dur
1053-8100,dur
0261-5177,dur
0361-3682,dur
1090-9516,dur
1044-5005,dur
0001-8791,dur
0160-2896,dur
1871-1014,dur
1551-7411,dur
0169-555X,dur
0140-9883,dur
0030-4387,dur
0005-7894,dur
0890-8389,dur
0012-821X,dur
0921-8009,dur
1878-5476,dur
1740-1445,dur
0749-5978,dur
0167-4870,dur
1042-4431,dur
1075-4253,dur
0363-8111,dur
1566-1199,dur
0022-1031,dur
0882-6110,dur
0165-1765,dur
0195-6663,dur
1567-4223,dur
1053-4822,dur
1364-6613,dur
0191-3085,dur
0272-4944,dur
1878-0237,dur
0305-4403,dur
0268-4012,dur
1094-9968,dur
1747-938X,dur
0277-9536,dur
0092-6566,dur
2211-9736,dur
0927-5398,dur
0167-8116,dur
1441-3582,dur
0148-6195,dur
0147-1767,dur
1090-9516,lee
2214-6296,lee
0148-2963,lee
0022-4359,lee
0959-6526,lee
0747-5632,lee
0969-6989,lee
0002-8177,lee
1364-0321,lee
2213-624X,lee
1470-160X,lee
0965-8564,lee
0092-8674,lee
0967-070X,lee
0019-8501,lee
1369-8478,lee
1871-5192,lee
0272-4944,lee
0016-5107,lee
1094-9968,lee
1674-2001,lee
2212-2672,lee
1462-9011,lee
1470-2045,lee
0268-005X,lee
1048-9843,lee
0195-6663,lee
0040-1625,lee
0007-6813,lee
1740-1445,lee
0006-3495,lee
1567-4223,lee
0016-5085,lee
0346-251X,lee
0929-1199,lee
0167-8116,lee
0275-5319,lee
0959-3780,lee
0378-7206,lee
1053-4822,lee
1551-7411,lee
0891-4222,lee
2214-790X,lee
0966-6923,lee
1043-951X,lee
0735-1097,lee
0140-6736,lee
1499-4046,lee
0969-5931,lee
0739-8859,lee
0883-9026,lee
1075-4253,lee
1610-8167,lee
1878-0148,lee
1441-3523,lee
2214-1405,lee
1743-9671,lee
0266-6138,lee
1524-9042,lee
1475-1585,lee
0090-2616,lee
0968-090X,lee
0306-2619,lee
0002-8703,lee
0921-8009,lee
0950-0618,lee
0016-7185,lee
1529-9430,lee
0264-8377,lee
0360-5442,lee
0748-7983,lee
0140-1971,lee
1755-5345,lee
0191-2615,lee
1540-7489,lee
0032-5910,lee
0195-9255,lee
1063-4584,lee
1089-9472,lee
1389-9341,lee
0936-6555,lee
0749-3797,lee
1226-086X,lee
1569-1993,lee
0960-9822,lee
0048-7333,lee
0197-4572,lee
0263-8762,lee
0360-3199,lee
0263-7863,lee
1555-4155,lee
0301-4215,lee
0168-8278,lee
1097-2765,lee
0301-679X,lee
0002-9610,lee
0007-0912,lee
1361-9209,lee
1878-0180,lee
1878-1861,lee
1742-7061,lee
1058-2746,lee
0883-5403,lee
1878-0237,lee
1059-0560,lee
2214-2096,lee
0897-1897,lee
0278-4319,lee
1057-5219,lee
1062-9769,lee
0191-8869,lee
0264-2751,lee
0002-9149,lee
0363-8111,lee
1878-7452,lee
0167-9236,lee
0167-4870,lee
0031-9406,lee
1441-3582,lee
0268-4012,lee
0301-4797,lee
1041-6080,lee
0091-7435,lee
1098-3015,lee
0091-6749,lee
0007-8506,lee
2214-367X,lee
1036-7314,lee
0099-2399,lee
0736-5853,lee
1542-3565,lee
0378-4266,lee
0896-6273,lee
0955-3959,lee
1471-0153,lee
0882-5963,lee
2211-9736,lee
0890-8567,lee
0960-1481,lee
1042-4431,lee
0005-7894,lee
1297-319X,lee
0924-2716,lee
1747-938X,lee
0016-7878,lee
0007-6813,she
0959-6526,she
1610-8167,she
0747-5632,she
0007-8506,she
1369-7021,she
0002-8177,she
1470-2045,she
1364-0321,she
2214-7810,she
0092-8674,she
0148-2963,she
2352-409X,she
0363-8111,she
2214-6296,she
1098-3015,she
1091-8531,she
0929-1199,she
0195-6663,she
0960-9822,she
0550-3213,she
1878-0148,she
1048-9843,she
1475-1585,she
0022-4359,she
1060-3743,she
0090-2616,she
0140-6736,she
0892-1997,she
0169-5347,she
1740-1445,she
0969-6989,she
1044-5005,she
0360-3199,she
1474-4422,she
0955-3959,she
0966-6362,she
0033-3506,she
1470-160X,she
1353-8292,she
0275-5319,she
0005-7894,she
1054-139X,she
1878-0237,she
0306-2619,she
1742-7061,she
1526-6125,she
0960-1481,she
0950-0618,she
0099-1333,she
0378-7206,she
0301-4797,she
0016-5107,she
0360-5442,she
0896-6273,she
1569-1993,she
1878-0180,she
2214-790X,she
0748-7983,she
1166-7087,she
1270-9638,she
2212-9820,she
0261-5177,she
0160-7383,she
0191-8869,she
0016-7185,she
2352-152X,she
0040-1625,she
0278-4319,she
0891-4222,she
1879-9817,she
1097-2765,she
0966-6923,she
0263-7863,she
1441-3523,she
0921-8009,she
1053-4822,she
0740-8188,she
1534-5807,she
0302-2838,she
1357-3039,she
0264-2751,she
0260-6917,she
0190-7409,she
0967-070X,she
1041-6080,she
1040-6182,she
0898-5898,she
1567-4223,she
1057-5219,she
1540-7489,she
0925-5273,she
1226-086X,she
1525-5050,she
0749-3797,she
1077-7229,she
0378-7753,she
0272-8842,she
0924-0136,she
1059-0560,she
0969-5931,she
0264-8377,she
1555-4155,she
0016-5085,she
1441-3582,she
1544-6131,she
0264-9993,she
0956-053X,she
0882-5963,she
0926-5805,she
0890-6955,she
0099-2399,she
1096-7176,she
0735-1097,she
1568-4946,she
0091-7435,she
0301-4215,she
0890-4065,she
0109-5641,she
0169-2046,she
0266-6138,she
0888-3270,she
0736-5853,she
0020-7489,she
1359-1789,she
0263-8762,she
1462-9011,she
2211-6958,she
1871-5192,she
1084-9521,she
2212-2672,she
0006-3495,she
1094-9968,she
0939-6411,she
0960-8524,she
1572-3089,she
1743-9671,she
0268-4012,she
0883-9026,she
1747-938X,she
1878-0040,she
0895-4356,she
0197-3975,she
0147-1767,she
0016-7878,she
1499-4046,she
1875-9777,she
1043-951X,she
1359-8368,she
1473-3099,she
1877-9166,she
0196-8904,she
0885-2006,she
1094-6950,she
0959-6526,icl
2214-6296,icl
2213-2198,icl
1369-7021,icl
2214-7810,icl
1364-0321,icl
0140-6736,icl
1878-0148,icl
1270-9638,icl
1096-7176,icl
1081-1206,icl
0016-5085,icl
1473-3099,icl
2213-333X,icl
0007-6813,icl
0550-3213,icl
0735-1097,icl
2352-152X,icl
1540-7489,icl
0016-5107,icl
1875-5100,icl
0007-8506,icl
0748-7983,icl
0091-6749,icl
0002-9149,icl
1547-5271,icl
0306-2619,icl
0168-8278,icl
0025-7125,icl
0039-6109,icl
1569-1993,icl
1878-7452,icl
0015-1882,icl
1542-3565,icl
1470-2045,icl
0360-5442,icl
1072-7515,icl
1226-086X,icl
2211-2855,icl
1470-160X,icl
1876-7605,icl
1610-8167,icl
1359-6454,icl
1590-8658,icl
1742-7061,icl
1526-0542,icl
0889-8529,icl
2212-9820,icl
2214-1405,icl
0360-3199,icl
0003-4975,icl
0002-8703,icl
0272-5231,icl
0968-090X,icl
1526-6125,icl
0261-5614,icl
1551-7136,icl
0090-2616,icl
1389-9457,icl
0037-1963,icl
0883-9441,icl
1550-7289,icl
1053-2498,icl
0883-5403,icl
1566-1199,icl
1878-0938,icl
1058-2746,icl
0894-7317,icl
1083-8791,icl
0950-0618,icl
0963-8695,icl
1083-7515,icl
1443-9506,icl
1568-9972,icl
0015-0282,icl
1567-1348,icl
0735-6757,icl
0007-0912,icl
1098-3015,icl
0223-5234,icl
0741-5214,icl
0301-4215,icl
1876-861X,icl
0002-9610,icl
1046-2023,icl
1568-4946,icl
1262-3636,icl
1744-165X,icl
0301-679X,icl
0095-5108,icl
1359-6462,icl
0957-5820,icl
1529-9430,icl
0889-8553,icl
1674-2001,icl
0828-282X,icl
0002-9343,icl
0889-8588,icl
0016-7878,icl
0973-6883,icl
1878-1861,icl
0378-7753,icl
1078-1439,icl
0272-6386,icl
0009-9260,icl
0141-0296,icl
2452-3100,icl
0924-977X,icl
0167-5273,icl
1463-5003,icl
0190-9622,icl
1353-8020,icl
1878-0180,icl
1385-8947,icl
1084-9521,icl
0169-5347,icl
1876-4789,icl
0939-6411,icl
0960-1481,icl
1359-4311,icl
0968-0160,icl
1361-8415,icl
1050-6411,icl
0031-3955,icl
1525-8610,icl
0195-6663,icl
0949-328X,icl
0039-6060,icl
0309-1708,icl
0010-2180,icl
0939-4753,icl
1462-9011,icl
2405-500X,icl
0954-6111,icl
0936-6555,icl
2352-4669,icl
2212-2672,icl
0034-3617,icl
0894-1777,icl
1361-9209,icl
0016-2361,icl
0956-5663,icl
1198-743X,icl
0888-3270,icl
0891-5520,icl
0263-8231,icl
0022-4359,icl
1566-7367,icl
0098-1354,icl
1769-4493,icl
0085-2538,icl
0009-9120,icl
1071-9164,icl
0022-0736,icl
0005-2728,icl
1052-3057,icl
0041-624X,icl
0894-1130,icl
0733-8651,icl
0921-8890,icl
0193-953X,icl
0191-2615,icl
0030-5898,icl
0966-6362,icl
1479-666X,icl
1067-2516,icl
0733-8619,icl
0142-1123,icl
2214-790X,icl
1357-3039,icl
0301-4797,icl
0003-9993,icl
0022-3476,icl
0012-821X,icl
0195-6701,icl
0272-4944,icl
0302-2838,icl
0188-4409,icl
1567-1739,icl
1748-0132,icl
1876-1070,icl
0945-053X,icl
1350-6307,icl
1877-5845,icl
0046-8177,icl
0143-974X,icl
0965-8564,icl
0926-5805,icl
1748-6815,icl
2213-6657,icl
0163-4453,icl
0033-0620,icl
1438-4639,icl
1749-4613,icl
1879-3096,icl
0920-4105,icl
0140-7007,icl
0033-8389,icl
0016-7037,icl
0148-2963,icl
0301-472X,icl
1871-4021,icl
1556-0864,icl
0305-7372,icl
0308-597X,icl
0301-5629,icl
1359-8368,icl
0268-960X,icl
0025-326X,icl
0956-053X,icl
0191-8141,icl
1549-9634,icl
1043-6618,icl
1477-8939,icl
0303-2434,icl
0761-8425,icl
1369-8001,icl
0997-7546,icl
1076-6332,icl
0033-3506,icl
1751-7222,icl
0196-6553,icl
0264-8172,icl
1044-579X,icl
1521-690X,icl
0378-5122,icl
0749-3797,icl
2211-0348,icl
0927-0256,icl
0022-2836,icl
0749-8063,icl
0001-4575,icl
0890-8567,icl
1090-3798,icl
0001-706X,icl
0747-5632,icl
1286-4579,icl
0019-0578,icl
1877-0517,icl
1359-835X,icl
0266-4356,icl
0140-1971,icl
0928-0987,icl
1571-0645,icl
0092-8674,icl
1097-2765,icl
1074-7613,icl
0960-9822,icl
0896-6273,icl
1550-4131,icl
0006-3495,icl
1875-9777,icl
1931-3128,icl
1535-6108,icl
1534-5807,icl
0002-9297,icl
2405-4712,icl
0969-2126,icl
2213-2600,icl
2213-8587,icl
1474-4422,icl
2352-409X,abd
2214-6296,abd
2214-7853,abd
1875-5100,abd
0003-3472,abd
0959-6526,abd
0275-5319,abd
1364-0321,abd
1544-6131,abd
0015-0282,abd
2214-790X,abd
2212-9820,abd
1048-9843,abd
0016-7878,abd
0929-1199,abd
0007-6813,abd
0920-4105,abd
1558-7878,abd
1871-403X,abd
2211-3681,abd
0140-6736,abd
2212-0416,abd
1077-7229,abd
1090-9516,abd
1878-0237,abd
0140-9883,abd
1044-5005,abd
0890-8567,abd
0261-5614,abd
1075-4253,abd
1871-1871,abd
1572-3089,abd
1062-9769,abd
1050-4648,abd
0010-9452,abd
0308-597X,abd
2352-7102,abd
1364-6613,abd
0957-5820,abd
0022-4405,abd
0360-3199,abd
1878-0148,abd
0005-7894,abd
0960-1481,abd
1053-4822,abd
0044-5231,abd
1479-666X,abd
2213-2198,abd
1472-6483,abd
1474-4422,abd
1566-0141,abd
1749-4613,abd
1473-3099,abd
1096-7516,abd
0747-5632,abd
0360-5442,abd
1057-5219,abd
0016-5085,abd
2110-7017,abd
1042-4431,abd
0092-8674,abd
1226-086X,abd
0048-9697,abd
0301-4215,abd
1755-5345,abd
1747-938X,abd
1045-2354,abd
2352-250X,abd
0148-2963,abd
2211-8837,abd
0016-2361,abd
0969-6989,abd
0300-9572,abd
1072-7515,abd
0964-5691,abd
1053-8100,abd
0090-2616,abd
1871-4021,abd
0195-6663,abd
0264-8377,abd
1617-1381,abd
0899-9007,abd
0022-3913,abd
0025-326X,abd
1878-0199,abd
1470-2045,abd
0264-9993,abd
1002-0160,abd
1550-8307,abd
1525-8610,abd
0950-4230,abd
0022-4359,abd
1004-9541,abd
0040-1625,abd
0891-4222,abd
2213-624X,abd
1042-444X,abd
0306-2619,abd
0924-977X,abd
0264-8172,abd
1876-1399,abd
1062-9408,abd
0272-7358,abd
1040-6182,abd
2214-6350,abd
0190-9622,abd
0926-6690,abd
0278-4319,abd
0033-3506,abd
0950-0618,abd
1120-1797,abd
1059-0560,abd
1610-8167,abd
1462-9011,abd
0007-0912,abd
0272-4944,abd
1447-6770,abd
0010-0277,abd
0012-3692,abd
0161-6420,abd
1871-5192,abd
0169-5347,abd
1499-4046,abd
1041-6080,abd
0304-405X,abd
1529-9430,abd
0743-0167,abd
0960-9822,abd
1359-1789,abd
0149-7634,abd
1098-3015,abd
2210-5395,abd
1878-5476,abd
0927-5398,abd
1043-951X,abd
0742-051X,abd
2352-2267,abd
0959-4752,abd
1740-1445,abd
0927-538X,abd
0030-4387,abd
0002-9343,abd
1876-2018,abd
1439-1791,abd
1094-9968,abd
0313-5926,abd
0029-8018,abd
0882-6110,abd
0883-0355,abd
1878-8750,abd
1877-1297,abd
0301-4797,abd
2212-2672,abd
1568-4946,abd
0969-6997,abd
0925-7535,abd
0165-0327,abd
0022-3999,abd
1357-3039,abd
0191-8869,abd
2210-7789,abd
0002-9610,abd
0360-1315,abd
0976-5662,abd
0002-9378,abd
0090-4295,abd
2352-5525,abd
0890-8389,abd
2352-1546,abd
0960-8524,abd
0016-7061,abd
0896-6273,abd
2352-4669,abd
1550-4131,abd
2214-6296,ews
0003-3472,ews
0140-6736,ews
0163-6383,ews
1048-9843,ews
0929-1199,ews
0959-6526,ews
0007-6813,ews
1572-3089,ews
0030-4387,ews
0169-5347,ews
0308-597X,ews
2214-790X,ews
0016-3287,ews
1878-0040,ews
0016-7185,ews
0959-3780,ews
1566-1199,ews
0275-5319,ews
2352-250X,ews
0304-405X,ews
2352-6734,ews
2352-9385,ews
2214-7853,ews
0040-1625,ews
0960-9822,ews
1544-6131,ews
0148-2963,ews
1090-9516,ews
0025-326X,ews
1040-2608,ews
1364-0321,ews
0927-5398,ews
0747-5632,ews
1566-0141,ews
0301-4215,ews
1568-9883,ews
1042-9573,ews
0272-4944,ews
0921-8009,ews
1090-5138,ews
0016-7037,ews
0890-8567,ews
0962-6298,ews
0006-3207,ews
1462-9011,ews
0346-251X,ews
0378-4266,ews
0022-4359,ews
0969-5931,ews
1364-6613,ews
1043-951X,ews
0016-7878,ews
1045-2354,ews
1057-5219,ews
0144-8609,ews
0092-8674,ews
0360-3199,ews
2352-409X,ews
1042-4431,ews
0191-8869,ews
0313-5926,ews
0964-5691,ews
0033-3506,ews
0264-8377,ews
0140-1971,ews
1871-4021,ews
0305-750X,ews
0012-821X,ews
1062-9769,ews
0272-7358,ews
0005-7894,ews
0363-8111,ews
0885-2014,ews
0169-1368,ews
0090-2616,ews
0010-0277,ews
0969-6989,ews
1610-8167,ews
1876-2018,ews
2214-7853,gla
2214-6296,gla
1041-6080,gla
0007-6813,gla
0959-6526,gla
1044-5005,gla
0275-5319,gla
1544-6131,gla
0929-1199,gla
1096-7516,gla
1747-938X,gla
1876-2018,gla
0022-4359,gla
0742-051X,gla
0882-6110,gla
0890-8567,gla
1059-0560,gla
1871-4021,gla
1447-6770,gla
0969-6989,gla
0099-2399,gla
0747-5632,gla
2352-409X,gla
1878-0237,gla
0140-6736,gla
1130-8621,gla
1871-1871,gla
1467-2987,gla
1077-7229,gla
1572-3089,gla
0272-4944,gla
1090-9516,gla
1053-4822,gla
1062-9769,gla
1878-0040,gla
1566-0141,gla
1610-8167,gla
1094-9968,gla
1475-1585,gla
1045-2354,gla
0033-3506,gla
0927-538X,gla
0263-7863,gla
0148-2963,gla
0301-4215,gla
0090-2616,gla
0346-251X,gla
0261-5177,gla
0022-0302,gla
2352-7218,gla
2211-3681,gla
2211-9736,gla
1364-0321,gla
0010-9452,gla
1878-1861,gla
2211-3649,gla
2213-2198,gla
1042-4431,gla
1474-4422,gla
0896-6273,gla
1876-1399,gla
0738-0593,gla
1558-7878,gla
0891-4222,gla
1878-0199,gla
1057-5219,gla
0190-7409,gla
1740-1445,gla
0959-3780,gla
0966-6923,gla
0363-8111,gla
0304-405X,gla
0040-1625,gla
0268-4012,gla
0361-3682,gla
0272-7358,gla
0278-4319,gla
1062-9408,gla
0140-1971,gla
0737-0806,gla
2352-250X,gla
1042-444X,gla
0022-4405,gla
2211-2855,gla
0959-4752,gla
0005-7894,gla
1473-3099,gla
1389-9457,gla
0960-9822,gla
1036-7314,gla
0887-6185,gla
1359-1789,gla
1470-2045,gla
0360-1315,gla
1876-2859,gla
1877-1297,gla
0264-9993,gla
0889-4906,gla
1270-9638,gla
1322-7696,gla
